translated_content,sentiment
"I personally chose Intel Core i7 (12700K) with built UHD graphics for my newly built desktop PC. For those, who don't want to use a separate and usually exorbitantly prized graphics cards, this processor is a very good alternative. It can handle most of the processing intensively render of Blender easily with its unblocked overlocking (obviously you have to use the support table, i.e. presentable UHD graphics for my newly built PC. For those, who don't want to use a separate graphics card, this is a very good alternative.",positive
"I have spent this processor with Ass Prime Z690A motherboard and 32G 5200Mhz DDR5 ram. My use is mostly for Adobe suite for 4K video rendering & photoediting (without dedicated eGPU) and occasional AAA title playing like GTA5, Battlefield, Cpunk, etc. The processor works like a charm for rendering and Games up to 75Hz in 1080p plus setting. Above all good processor for the price and more review to come in future editions.",positive
"It's been upgrading for 12 years because it's been missing from RYZEN for 12 years, but it's been missing from RYZEN.",negative
"Excellent processor, mounted on the PC perfectly without touching, reigns the simple games even without video card",positive
"Does exactly what it's supposed to do, my computer works great",positive
"Working well, stable and can be overclock - with correct cooling setup. Good price all.",positive
Good value purchase to build a system.,positive
"So, being an AMD fanboy, I was not on getting this, but the c/t (current to threads) kinda caught my eye. Running 12 colours, and 20 threads (4 e-cores i think) I thought, well, for the price, it should be okay? I was wrong... This cpu is a monster in my eyes. Running with 32GB of ram (dr4) and matched with the RTX 4070 GPU being cooled by the Art Liquid Freezer ii, there is nothing stopping this from performance to its max. I would recommend this part of kit to anyone, starting out or continuing on with building computers for their ""high end"" gaming etc. I have not once seen this stroke.",positive
This is what is expected of its specifications.,negative
"At the time I bought it I wondered if I would get very badly treated, since it was imported from Amazon USA, but it was in excellent condition, they did with delivery time and had absolutely no problem in shipping or delivery, as well as that it is at a price lower than the rest. I strongly recommend it, especially for people like me who are arming their first PC Gamer and work and looking for piece by piece.",positive
"It's very fast, but completely forgotten, it comes to use 220W in stress test. Before buying, find out about the forums on this issue, it doesn't matter which cooler and thermal pasta use, it's going to forget very much. The only solution is to make a slight undervoltage, or reduce loadline calibration in the BIOS. It reminded me of the i7-7700K that suffers from the same problem.",negative
"As with Intel it is very good, the perfects are just incredible with the native boost, I have managed to get the OC up to 5.2Ghz and I am convinced that we can still mount with a custom water. The default is that when we take a 4080 it takes a little bit of language in 4k. I'm going to have to change it after 2 years because of bottleneck, but on a config with a 3080(ti) it has to be a very nice synergy. Very good on processor tasks too, to use it to make some perfect performance really good.",positive
"I have been using AMD since I was a youth and started building computers. The conclusion is: It is an amazing CPU, runs faster than my Ryzen 7700. The price AND performance AMD was better than if I had gone with a Ryzen 7800X. Some backend information: I have never ordered a Amazon home.",positive
Everything's so good,positive
Excellent cpu and great value,positive
"LEGAL AND CONCLUSION PROFESSIONAL, RECOMMENDED",positive
"If you're not going next gene, this is your best option, great price and amazing performance both in gambling and productivity",positive
"Basic processor used from my home PC, does exactly what was requested and ordered",positive
Big upgrade from my 9 years old 5820K.,positive
"For my needs, it's the perfect “bank for the Buck” balance between performance and price.",positive
"This is my first Intel building coming from past AMD buildings (Ryzen, FX, Athlon, Phenom). I am nowhere near a hardware engineer level to distinguish or feel the differences in performances but for the average gamer and tournament on this CPU with instructions followed, this chip is very well to be worthy and trusted to be future test until at least 2026. I overclockd this via the motherboard/bios settings and it stays cool with a $30 fan cooler. (don't get a super cap or small cpu cooler otherwise would be delegated) Just follow installation instructions mostly the chip is delicate. Windows experience this is a 9.7 so that says it has the extra 50-60-$ lose its share.",positive
"Classic CPU Intel medium range from gambling and productivity. Perfect packaging and no problem with installation. Viewing the latest 14^ generation PC Intel outputs, the price should sit around € 280-300 to become a best buy",positive
Delivery relatively fast and delivered nine processors,positive
"Good processor, but he also costs his money. He causes some fungi with me instead of a good product.",positive
I don't understand why I send a captain CPU to get this is simply unnecessary and time-consuming,negative
performation,neutral
All right,positive
Intel CPU is good,positive
"If you start with a new mazarboard, do you have a red light on the LED on the mazarboard?",positive
It works perfectly. I know the difference because I come from an i5 eighth generation. And I'll have more experience with a GPU 4070.,positive
Good....,positive
Nothing to return and does not burn (28C at rest) even without water cooling,neutral
Got it as an upgrade about my old 8700k and this is a lot of upgrade.,positive
"Over I5 13,500 out of 15 per cent",neutral
"A quick and efficient processor, together with a good graphics card, is a miracle",positive
super,positive
Fast and nice. Good shopping experience for me.,positive
Make his taff perfect,positive
I heard good things about this cpu and went for it. Budget friendly and a very good cpu!,positive
"This is my first 1700 socket processor, so I can really give it a proper speed review, although it was very simple to install, just be very careful!!",positive
Happened in time and the product is very performance one of the best processors of the perfect moment for today's games that are often cpu-bound!,positive
"I graduated from the i7 6700k to the i3 13100 and saw a great performance increase. I was ageing to test ddr5. However, I also wanted to experiment with 6+ core processors. Fortunately I found this i7 12700k when the price dropped to 275. I wasn't sure if it would be a big increase from the i3 and the I7 6700k. But the i7 12700k is a huge beast that has crossed all tasks I've given it and brought home life back to my RTX 2060 super super and it's stay cool & flunt. Z790 aures Eliut an I7 12700k overclocks 5.2 gz ecores 50-65 °C during many intense tasks and games for the 16th century",positive
"A very good product. I take it for software development and the truth is very fast the computer, even when I docker.",positive
"Finally a good step forward by Intel. The processor will be really good, park in consumption, powerful in both single and in many Koreas and does not get too hot. If you are looking at it you will probably already have seen countless benchmarks on the web so it is useless to post them. Like all components of a PC will be challenged compared to the use that a person has to do. Personally I advise you to buy it.",positive
No comment,neutral
Serious and recommended seller,negative
"I left an i7 6700k (6th generation) which had made its tab for the new i7 12700k and it's day and night. joined to a CM ASUS ROG STRIX Z690 and to cooling ROG RYUJIN II 360. He responds to my expectations, I have had difficulty between i5 12600k and this, I don't regret my purchase.",positive
Exactly what I need,positive
"Just be sure to match up the chip correctly on the socket (one horn has a triangle cutout) Easy to install. Runs taste and is not a power high or a supernova in terms of heat. Even at load, it plays well. Perfect for playing, no issues in keeping up with GPU.",positive
"Yeah, got it the next day as stated and was exactly as advertised.",positive
Play Video already changed all the components of my PC and since I bought the processor I've got mistakes and I can write why and I'm very busy,positive
"The processor is great, use the PC for streaming and gambling and does its duty without problems. But when I bought it it was up to the price compared to other processors and quality. It works well at the moment, using a month.",positive
"It goes well, with enough hearts and years to play on virtual machines, but I who keeps my computer constantly lit (inactive, but with open chrome and thirty angles where some are still up-to-date), I've greatly increased my conso relative to my previous 7700K. The turbo at a little more than 5Ghz is rigolo, but it doubles the conso and then the temperature. It goes well but this heats hard when it activates the turbo, and if you're trying to fan the least point you understand!",positive
"A great performance, get enough for the performance it gives. I got this for 210 dollars on BF. Recommended!",positive
"High quality product, planned to purchase for configuration of a new PC Very satisfied on purchase and delivery times",positive
"No problem with mounting: I set up a NHU12A noctual ventirade: when the proc works at 100%, it remains below 80°C. In normal operation, the whole is silent. Be careful if the CM goes to DDR5: it is 2 times the price of DDR5. The GPU works well (treating video) while the graphics cards return to reasonable prices.",positive
"At this time in the product life cycle, the 12th gene CPU is about half the cost of the 14th gene CPU. It is more than fast enough for everything I do. My major reason for upgrading was my old motherboard did not have TPM 2.0. The CPU was easy to install, it is running between 36-37 degrees Celsius (though I admit I am not stressing it).",positive
Good enough for this price range,positive
"run Microsoft Flight simulator on multiple 32"" screens beautifully.",positive
Perfect,positive
Great product/Brand Intel i7 CPU. I have been using the Intel brand CPUs and have been using the i7 and the K series since they were introduced. This looks like to handle video processing and CAD/CAM projects quit well. I have always had great luck with Intel brand processors and will continue using them. Pretty good value for the cost.,positive
Huge upgrade from 8th gene i5! paired it with the ASRock Z690 and 32g DDR4,positive
"Compared to the Coffee Lake generation I had been (willingly) stuck on for 4 years this is a massive leaf. Before buying I was a bit skeptical since I'm not a fan of Intel's new way of action courses, but the first thing I tried when I got it was emulating PS3 games and right off the bat I saw complementary times cut at least doubled. The old CPUs from the 8th, 9th, and 10th gene are perfectly usable for most people so if you're on a budget maybe look on the used market for those. But if you really need something powerful this is a good option.",positive
Used at work.,neutral
"This item has been with me for a very short time. So I recently decided to upgrade my gambling wealth, and after extensive research, I made the Bold choice to order the Intel Core i7-12700K Gaming Desktop Processor with Integrated Graphics and 12 Colors. Let me tell you, this processor is the absolute best! With its 12 colours, it brings a whole new level of performance to my gaming experience. Both I'm playing graphically demanding AA titles or pardoning in intensive multitasking, this processor tries to do it all. And what's even better is that it comes with integrated graphics, meaning I didn't have to have extra cash for separate graphics card and 12 colours, and it brings a complete",positive
"The morning after building and setting up windows, drivers, etc. The PC had blue screened because of temperatures, and after a reset and entering the BIOS I saw that the temperature was 89 degrees Celsius. Thank you, after some trial and error I was able to fill it and not have my CPU die. I'd suggest anyone who looks into getting an intelligent CPU to fill it!",positive
I received the product as soon as possible. I sealed it and in a box with another product. The operation is good and is not usually very hot with a good cooling system by air.,positive
This appears to be the best option for intelligence at this price range. Works as advertised.,positive
"The one I bought one year ago had instability. Didn't know it was the CPU until it really started acting up. had to do a lot of tests with different component to finally be able to pinpoint the CPU. When I arrived out to Intel, they informed me about a policy about 'tray' processor and 'boxed' processor. basically a Tray processor is paid in bulk and they don't cover warranty. As for Boxed processor, they are paid by some company and cost usually more. Fortunately, the one I got a boxed one, but still Intel told me had a 'tray' processor.",positive
"This is a very good product, and there are no issues with its features and performance. The use process is also very smooth, and there haven't been any overestimating so far.",positive
It's a top-of-the-line CPU that will last for a long time. There's nothing to distinguish about it. it replaced a 12 year 3770K!,negative
"I Purchased it at a special price, and I haven't counted any issues in terms of use.",positive
Excellent,positive
If you're looking for an Intel cpu I would recommend this even though it is a couple years old I survive its still the best Intel cpu for gambling,positive
Play Video See how it behaves when it makes my collection,neutral
"Great cpu, I'd buy it again.",positive
"Go from a 9400f to this was a big difference on gambling, and finally get the full potential of my gpu",positive
"Seriously, $211 is well worth it for the performance. I also Purchased the 12600k for $153 which is another unacceptable deal offered this year at Amazon. If you managed to get your hands on either of you made the right choice.",positive
This is a second pollase or core i7 12700. It works very well as expected.,positive
"I've installed a 10th has 2x, 12th has, and a 13th has on my family's pcs.",neutral
"For my limited budget, I bought it, while the 12700K isn't the top of the line, at least for me, it was more affordable and very performance.",positive
"Great CPU for multitasking, I don't know much about CPU but this is great!",positive
"It's pretty good value for money (as far as Intel CPUs are concerned...) for a 12th generation CPU, but if you're looking for the BETTER value get the i5-13600K what superforms it at pretty much the same cost while being a 13th gene CPU. The only real downside of the 13600k is that it generally requires a 13th compatible motherboard, otherwise you need to FLASH THE BIOS on a 12th generation to be able to read 13th not recommended gene CPU (I highly do not recommend this). I've tried it and it's looking a big hassle (many potential issues) that I recommend first time PC builders and share a",positive
"So far so good, but then that's what I said about the last one... I'll check back in a year on this and hope it wastes my primary CPU. As for the last one... it's Intel dropping the ball with their QC it seems. Had an IMC function poorly and finally give up the host and refuse to post with more than one memory module installed. Couldn't run any XMP profiles, and swap the processor solved it (not a Mobo issue). Just watch for funky possessor when you buy this gene, and return it if *nothing*s even *remotely* off.",positive
"Not much to say about this cpu. It's Intel, and these are immortal. Still have the 3770K I got like 10 years ago, and an Extreme I got even earlier than that. So the main reason here is to let Amazon know that I HAVE received the item, but I don't know how to let them know so they can change the ""package left at mail"" to "" Already received""...",negative
"I got the CPU on sale and I would say the performance is great, my application is running smoothly and does not as into any problem for a year now.",positive
"The heart of my PC built and wanted to have the ""K"" version with the Integrated Graphics... even though I was going to have a GPU always, it's a good backup if the GPU fails. Can't do a Pro and Con here as there is nothing too much to report.",positive
"This thing is a workshop! Ive got mine clocked to 5.0GHz and it runs like a dream, keep in mind this unit will require a water pump on coolers are not enough!",neutral
