rating,content,variant,name,date,verified,sub_reviews,neg,neu,pos,compound,label,score,neg,neu,pos,compound,label,score,neg,neu,pos,compound,label,score,neg,neu,pos,compound,label,score
,smooth Good And better Quality,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Salik Ahamad Khan,Reviewed in India on 8 May 2024,True,[],0.0,0.341,0.659,0.7003,NEGATIVE,0.9925076365470886,0.0,0.341,0.659,0.7003,POSITIVE,0.999860405921936,0.0,0.341,0.659,0.7003,POSITIVE,0.999860405921936,0.0,0.341,0.659,0.7003,POSITIVE,0.999860405921936
,"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Darshan P,Reviewed in India on 14 May 2024,True,[],0.195,0.651,0.154,-0.5277,NEGATIVE,0.9925076365470886,0.195,0.651,0.154,-0.5277,NEGATIVE,0.9813631772994995,0.195,0.651,0.154,-0.5277,NEGATIVE,0.9813631772994995,0.195,0.651,0.154,-0.5277,NEGATIVE,0.9813631772994995
,"It’s a great product for the price . Very fluid and looks great too . And it’s at a great price on Amazon .
Overall I’m really setisfied.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Yajveer Arya,Reviewed in India on 19 May 2024,True,[],0.0,0.576,0.424,0.9325,NEGATIVE,0.9925076365470886,0.0,0.576,0.424,0.9325,POSITIVE,0.9997827410697937,0.0,0.576,0.424,0.9325,POSITIVE,0.9997827410697937,0.0,0.576,0.424,0.9325,POSITIVE,0.9997827410697937
,Super quality,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Srinivas,Reviewed in India on 20 May 2024,True,[],0.0,0.204,0.796,0.5994,NEGATIVE,0.9925076365470886,0.0,0.204,0.796,0.5994,POSITIVE,0.9997372031211853,0.0,0.204,0.796,0.5994,POSITIVE,0.9997372031211853,0.0,0.204,0.796,0.5994,POSITIVE,0.9997372031211853
,"Redmi 12 5G (6GB/128GB)

Overview: Having used a Samsung Galaxy J7 Pro for five years, I recently switched to the Redmi 12 5G (6GB/128GB). Despite its promising specifications, the overall experience has been disappointing, lacking the reliability and features I previously enjoyed.

Call Quality and Features: The call experience with the Redmi 12 5G is plagued by frequent drops and network issues. The absence of a visible number typing area on the keypad and malfunctioning call recording further hinder usability. Additionally, mistouches during calls and the lack of a Bluetooth icon exacerbate usability issues. Furthermore, accidental calls to random contacts due to mistouches during calls add to the frustration.

Messaging: Despite granting all permissions, saved contacts' names do not display, making it challenging to navigate messages. The inability to differentiate messages from unknown sources exacerbates the issue, as spam messages appear with misleading identities.

User Interface (UI): The default UI is cumbersome, lacking essential customization options like horizontal menu pages. Third-party launchers like Nova Launcher are necessary for improved functionality, but gesture support is limited to the native HyperOS. UI lag and unresponsive notifications further mar the experience.

Gallery and File Management: The gallery's organization is subpar, especially when distinguishing between internal storage and SD card content. Similarly, the file manager lacks basic search functionality, forcing users to manually scroll through directories.

Camera and Speaker Quality: The camera performance falls below expectations for the price segment, producing subpar images. Additionally, the speaker exhibits erratic volume fluctuations, impacting audio quality during media playback.

Handling and Display: The device's larger-than-expected size makes single-handed use difficult, leading to wrist discomfort. Outdoor visibility is poor due to inadequate brightness levels, resulting in reflective screen surfaces.

Battery and Charging: While charging speed is acceptable, the battery life necessitates multiple charges for a single day of normal use, diminishing user convenience.

Second Space Feature: The Second Space feature fails to match the functionality of Samsung's Knox, lacking essential capabilities such as seamless data transfer between spaces and restricted clipboard access.

Comparison and Concerns: Comparing similar models like the Poco M6 Pro reveals discrepancies in pricing and specifications, indicating potential deception in the market. Such practices undermine consumer trust and warrant caution when considering Xiaomi devices.

Conclusion: In conclusion, the Redmi 12 5G (6GB/128GB) fails to deliver on basic functionality and user experience, making it an unsatisfactory investment. Prospective buyers are advised to explore alternative options to avoid the frustration and inconvenience associated with this device.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Placeholder,Reviewed in India on 12 May 2024,True,[],0.142,0.793,0.064,-0.9875,NEGATIVE,0.9925076365470886,0.142,0.793,0.064,-0.9875,NEGATIVE,0.9567208886146545,0.142,0.793,0.064,-0.9875,NEGATIVE,0.9567208886146545,0.142,0.793,0.064,-0.9875,NEGATIVE,0.9567208886146545
,Not much durable. Battery drains fast. Camera is ok but picture quality doesn't look like 50MP camera. No slow motion video capture feature is available. Fingerprint senser at the side sometimes doesn't capture. Connectivity is ok.,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Aditya Gaonkar,Reviewed in India on 5 May 2024,True,[],0.131,0.764,0.105,-0.2651,NEGATIVE,0.9925076365470886,0.131,0.764,0.105,-0.2651,NEGATIVE,0.976945161819458,0.131,0.764,0.105,-0.2651,NEGATIVE,0.976945161819458,0.131,0.764,0.105,-0.2651,NEGATIVE,0.976945161819458
,"It is a gift for parents so not much looking for performance as its already have 6GB RAM for them to use basic phone features. Fast charging support is plus point. Appearance wise also good. Camera quality is not upto the mark also not much features available for camera.
Overall good product for light use.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,TnB_Giri,Reviewed in India on 2 May 2024,True,[],0.0,0.772,0.228,0.926,NEGATIVE,0.9925076365470886,0.0,0.772,0.228,0.926,NEGATIVE,0.9987517595291138,0.0,0.772,0.228,0.926,NEGATIVE,0.9987517595291138,0.0,0.772,0.228,0.926,NEGATIVE,0.9987517595291138
,Performance good,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Dnyanoba,Reviewed in India on 7 May 2024,True,[],0.0,0.256,0.744,0.4404,NEGATIVE,0.9925076365470886,0.0,0.256,0.744,0.4404,POSITIVE,0.9998465776443481,0.0,0.256,0.744,0.4404,POSITIVE,0.9998465776443481,0.0,0.256,0.744,0.4404,POSITIVE,0.9998465776443481
,"Let me tell you if you are looking to Buy a phone around 11-12 k then this is the best option you can get out of vivo, oppo, realme, moto, poco.
Nice and clean Display
Nice looks with glass back design.Black colour looks really good
No heating issues at all
Of course value for Money
Camera i would say is above average. Don't think so much about it is definetly better than your current phone😂
Looks if you are camera specific than you will find it un satisfactory but if you are buying it for your parents who dont want to click pictures all the time and just want a good phone to use for like youtube insta movies music and all then its perfect.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Siddhant,Reviewed in India on 15 May 2024,True,[],0.032,0.766,0.203,0.9717,NEGATIVE,0.9925076365470886,0.032,0.766,0.203,0.9717,POSITIVE,0.9982837438583374,0.032,0.766,0.203,0.9717,POSITIVE,0.9982837438583374,0.032,0.766,0.203,0.9717,POSITIVE,0.9982837438583374
,"Battery life very good
Camera quality very good
Value of money product
No hanging problem
Display very attractive",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Sweety,Reviewed in India on 16 May 2024,True,[],0.168,0.412,0.42,0.8104,NEGATIVE,0.9925076365470886,0.168,0.412,0.42,0.8104,POSITIVE,0.9952828288078308,0.168,0.412,0.42,0.8104,POSITIVE,0.9952828288078308,0.168,0.412,0.42,0.8104,POSITIVE,0.9952828288078308
,Thanks for you,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Amazon Customer,Reviewed in India on 22 May 2024,True,[],0.0,0.408,0.592,0.4404,NEGATIVE,0.9925076365470886,0.0,0.408,0.592,0.4404,POSITIVE,0.9997654557228088,0.0,0.408,0.592,0.4404,POSITIVE,0.9997654557228088,0.0,0.408,0.592,0.4404,POSITIVE,0.9997654557228088
,"Delivery agent has taken 1000 rs extra for old phone battery issue....but online details regarding this amount is not shown in invoice.
Plz give information about this... Thank you",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,David Markande,Reviewed in India on 8 May 2024,True,[],0.0,0.877,0.123,0.4215,NEGATIVE,0.9925076365470886,0.0,0.877,0.123,0.4215,NEGATIVE,0.9759131669998169,0.0,0.877,0.123,0.4215,NEGATIVE,0.9759131669998169,0.0,0.877,0.123,0.4215,NEGATIVE,0.9759131669998169
,"ठीक ठाक है कैमरा उतना अच्छा नहीं ह बैक कमजोर ह सीसा के कारण आवाज और स्पीड अच्छा है
चार्जिंग भी ठीक है",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Shivsingh,Reviewed in India on 10 May 2024,True,[],0.0,1.0,0.0,0.0,NEGATIVE,0.9925076365470886,0.0,1.0,0.0,0.0,NEGATIVE,0.815545916557312,0.0,1.0,0.0,0.0,NEGATIVE,0.815545916557312,0.0,1.0,0.0,0.0,NEGATIVE,0.815545916557312
,Good,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Ashish singh,Reviewed in India on 19 May 2024,True,[],0.0,0.0,1.0,0.4404,NEGATIVE,0.9925076365470886,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679
,"Phone it ok but charging speed slowly , take 3-4hrs for full charge. When plug in for change its immediate warm.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Placeholder,Reviewed in India on 13 May 2024,True,[],0.0,0.82,0.18,0.4497,NEGATIVE,0.9925076365470886,0.0,0.82,0.18,0.4497,NEGATIVE,0.9917916059494019,0.0,0.82,0.18,0.4497,NEGATIVE,0.9917916059494019,0.0,0.82,0.18,0.4497,NEGATIVE,0.9917916059494019
,One of the best mobile phone...,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Subrat Kumar Sahu,Reviewed in India on 14 May 2024,True,[],0.0,0.543,0.457,0.6369,NEGATIVE,0.9925076365470886,0.0,0.543,0.457,0.6369,POSITIVE,0.9998490810394287,0.0,0.543,0.457,0.6369,POSITIVE,0.9998490810394287,0.0,0.543,0.457,0.6369,POSITIVE,0.9998490810394287
,"The Redmi 5G phone is pretty good for its price. It's fast and can connect to the internet super quickly with 5G. The camera takes decent pictures, but the battery doesn't last as long as some other phones. Sometimes the software can be a bit tricky to use, but overall, it's a good choice if you want a cheap 5G phone.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Chirag Raundal,Reviewed in India on 15 April 2024,True,[],0.029,0.791,0.18,0.836,NEGATIVE,0.9925076365470886,0.029,0.791,0.18,0.836,POSITIVE,0.9974971413612366,0.029,0.791,0.18,0.836,POSITIVE,0.9974971413612366,0.029,0.791,0.18,0.836,POSITIVE,0.9974971413612366
,"The phone really feels premium and as always, mi ui never fails to amaze, its awesome😀.but I have little bit issues with this phone
1. The lower part of screen sometimes shows series of white lines which flashes for a fraction of seconds and disseapear later.
I hope it will get fixed after a software update.
2. The charging sometimes gets disconnected automatically and this sometimes make me concerned",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,The palm rejection of this pad is excellent and the lines drawn of the given pencil is thin which is necessary for good handwriting.Buid quality is strudy and is very slim in thickness,Reviewed in India on 6 April 2024,True,[],0.071,0.856,0.073,0.0469,NEGATIVE,0.9925076365470886,0.071,0.856,0.073,0.0469,POSITIVE,0.9978958368301392,0.071,0.856,0.073,0.0469,POSITIVE,0.9978958368301392,0.071,0.856,0.073,0.0469,POSITIVE,0.9978958368301392
,Over all best but camera is ok ok and also heating,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Amazon,Reviewed in India on 29 April 2024,True,[],0.0,0.494,0.506,0.802,NEGATIVE,0.9925076365470886,0.0,0.494,0.506,0.802,POSITIVE,0.9996229410171509,0.0,0.494,0.506,0.802,POSITIVE,0.9996229410171509,0.0,0.494,0.506,0.802,POSITIVE,0.9996229410171509
,"Look is good, camera also good but too much needed for battery to fully charge.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Imran Ahmed,Reviewed in India on 17 April 2024,True,[],0.0,0.769,0.231,0.4404,NEGATIVE,0.9925076365470886,0.0,0.769,0.231,0.4404,NEGATIVE,0.9471434354782104,0.0,0.769,0.231,0.4404,NEGATIVE,0.9471434354782104,0.0,0.769,0.231,0.4404,NEGATIVE,0.9471434354782104
,battery is the most worst thing i have seen in this phone even after i'm not using the phone still it's consuming battery like a alot and also if you use this phone for like 1hr for watching video aur watching some movies and all it's battery is gonna drain out in that 1hr don't buy this phone bcz of it's battery,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Vaibhav fulara,Reviewed in India on 14 May 2024,True,[],0.066,0.859,0.075,-0.101,NEGATIVE,0.9925076365470886,0.066,0.859,0.075,-0.101,NEGATIVE,0.9997687935829163,0.066,0.859,0.075,-0.101,NEGATIVE,0.9997687935829163,0.066,0.859,0.075,-0.101,NEGATIVE,0.9997687935829163
,Good,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,P K.,Reviewed in India on 30 April 2024,True,[],0.0,0.0,1.0,0.4404,NEGATIVE,0.9925076365470886,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679
,"*After usinge for 3 months*
Budget wise it was good but battery draining very fast however it fully charged in 1 to 1.5 years but we have to charge atleast twise a day.",Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Ronak Mehta,Reviewed in India on 6 April 2024,True,[],0.078,0.803,0.119,0.0927,NEGATIVE,0.9925076365470886,0.078,0.803,0.119,0.0927,NEGATIVE,0.9793060421943665,0.078,0.803,0.119,0.0927,NEGATIVE,0.9793060421943665,0.078,0.803,0.119,0.0927,NEGATIVE,0.9793060421943665
,Value for money,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Super..Best fit & good length,Reviewed in India on 14 April 2024,True,[],0.0,0.455,0.545,0.34,NEGATIVE,0.9925076365470886,0.0,0.455,0.545,0.34,POSITIVE,0.9977726340293884,0.0,0.455,0.545,0.34,POSITIVE,0.9977726340293884,0.0,0.455,0.545,0.34,POSITIVE,0.9977726340293884
,Good product,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Manish Thakur,Reviewed in India on 11 April 2024,True,[],0.0,0.256,0.744,0.4404,NEGATIVE,0.9925076365470886,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719
,Good,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Ss,Reviewed in India on 12 April 2024,True,[],0.0,0.0,1.0,0.4404,NEGATIVE,0.9925076365470886,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679,0.0,0.0,1.0,0.4404,POSITIVE,0.9998161196708679
,Good product,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Divya tobin,Reviewed in India on 10 April 2024,True,[],0.0,0.256,0.744,0.4404,NEGATIVE,0.9925076365470886,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719,0.0,0.256,0.744,0.4404,POSITIVE,0.9998588562011719
,Overall nice phone,Colour: Jade BlackSize: 6GB RAM + 128GB StorageVerified Purchase,Mohit Dey,Reviewed in India on 5 April 2024,True,[],0.0,0.417,0.583,0.4215,NEGATIVE,0.9925076365470886,0.0,0.417,0.583,0.4215,POSITIVE,0.9997705817222595,0.0,0.417,0.583,0.4215,POSITIVE,0.9997705817222595,0.0,0.417,0.583,0.4215,POSITIVE,0.9997705817222595
